F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
,6,0,6,0,42,34,,0,8,0,0,0,0,,,,,
,17,0,17,0,91,84,,1,7,3,1,1,0,,,,,
,17,0,17,0,74,74,,0,0,0,0,0,0,,,,,
,21,1,21,2,83,80,,0,1,0,0,0,1,,,,,
,8,0,8,0,52,48,,1,4,0,1,1,0,,,,,
,9,0,9,0,34,34,,0,0,0,0,0,0,,,,,
,9,0,9,0,49,49,,0,0,0,0,0,0,,,,,
,32,3,32,0,109,100,,1,9,1,1,0,3,,,,,
,10,0,10,0,42,42,,1,0,0,0,0,0,,,,,
,7,0,7,0,46,46,,0,0,0,0,0,0,,,,,
,9,3,9,0,46,43,,0,3,0,0,0,3,,,,,
,12,1,12,0,55,53,,2,2,1,0,0,1,,,,,
,11,0,11,0,46,46,,0,0,0,0,0,0,,,,,
,11,1,11,0,54,50,,0,4,0,0,0,1,,,,,
,14,0,14,2,83,79,,0,2,2,0,0,0,,,,,
,12,0,12,0,55,55,,0,0,0,0,0,0,,,,,
,16,0,16,0,70,70,,0,0,0,0,0,0,,,,,
,9,0,9,0,44,43,,0,1,0,0,1,0,,,,,
,10,0,10,0,44,39,,1,5,0,1,2,0,,,,,
,11,0,11,0,46,46,,0,0,0,0,0,0,,,,,
,12,0,12,0,56,56,,0,0,0,0,0,0,,,,,
,8,0,8,0,46,46,,1,0,0,0,0,0,,,,,
,7,0,7,0,66,66,,0,0,0,0,0,0,,,,,
,13,0,13,0,128,128,,0,0,0,0,0,0,,,,,
,8,0,8,0,43,43,,0,0,0,0,0,0,,,,,
,7,0,7,0,47,41,,1,6,0,0,6,0,,,,,
,9,0,9,0,46,43,,1,3,0,1,0,0,,,,,
,6,0,6,0,54,54,,1,0,0,0,0,0,,,,,
,5,0,5,0,65,63,,63,2,0,0,2,0,,,,,
,9,1,9,0,48,37,,0,11,0,0,0,1,,,,,
,7,0,7,0,46,46,,0,0,0,0,0,0,,,,,
,10,0,10,0,52,51,,0,1,1,0,0,0,,,,,
,9,0,9,0,45,44,,1,1,0,0,0,0,,,,,
,13,0,13,0,57,57,,1,0,0,0,0,0,,,,,
,14,0,14,0,67,67,,1,0,0,0,0,0,,,,,
,10,0,10,0,44,44,,1,0,0,0,0,0,,,,,
,10,0,10,0,53,49,,1,4,0,0,4,0,,,,,
,10,0,10,0,49,44,,1,5,1,0,4,0,,,,,
,14,0,14,0,77,75,,1,2,0,0,2,0,,,,,
,9,0,9,0,45,45,,1,0,0,0,0,0,,,,,
,10,0,10,0,60,60,,1,0,0,0,0,0,,,,,
,10,0,10,0,42,42,,1,0,0,0,0,0,,,,,
